sentence	label
淘来旧书里夹着两张外币存单 男子辗转找到主人	0
心存侥幸！100米的醉驾还是被民警查获	1
中共延安市委网信办组织开展“牢记初心使命，我为党旗添彩”主题...	0
中美博弈，中国已悄然赢得两战，美霸权大势已去!	0
九江七中获得市第七届中小学、幼儿园艺术表演比赛中学器乐组、朗诵组第一名	0
只需加热、没有烟灰这种新式香烟你抽过吗? 非法的!	1
乌尔禾区档案局支部党员开展困难家庭慰问活动	0
一面锦旗背后的故事：两位“奶奶”都是亲人	0
哨声响亮 百姓点赞	0
澄城罗家洼派出所借助集会掀起平安建设宣传热潮(图)	0
新加坡10岁童星参加澳门赛车比赛，遭遇连环撞车	1
谁在青州丢了24k的金手镯!	0
亿利资源集团四个项目入选首批全国林业产业投资基金项目库	0
争树优良家风 助推乡村振兴 ---荔波县妇联赴瑶山瑶族乡开展“家庭、家风、家教、家训”讲座	0
强揽游客到店消费 三亚警察依法对其行政拘留	1
赣州象塘村忠孝传家 演绎乡村感恩故事	0
经信委机关党委走访慰问社区困难群众-名城新闻网	0
刘才、亳州市不动产登记局城乡建设行政管理:房屋登记管理(房屋登记)二审行政裁定书	1
降雪天气出租车司机为牟利超载上路司机:只超一个小孩不影响	1
“逃犯克星”张学友将在洛阳开唱!警方喊话网逃:我们准备好了!	0
只卖一碗拉面，开店家，狂赚亿!这位农家小妹凭什么?搜...搜狐	0
溧阳上兴交警中队执法不公，包庇开车撞伤我的前夫|龙城茶座-化龙巷	1
新疆昌吉市落实乡村振兴战略	0
【视频】绵阳人民公园附近起火，疑似煤气爆炸...	1
弟弟通过合同诈骗骗了朋友不少钱，合同诈骗罪判多少年--..._律师365	1
广安:让“岳池美味”更安全放心?	0
云南威信发改局副局长曾定勇滥用职权签批水电站	1
「百日专项行动」特克斯交警连查两起客运车辆超员违法行为	0
重庆警方一季度破获通信网络违法犯罪案近四千起，抓获千余人	0
小毛审问拐卖儿童嫌疑犯，嫌疑犯竟把孩子当成货物，真缺德	1
上下车应注意什么细节？大货车盲区在哪儿？警察叔叔为龙岩师范附属小学的孩子们上了一堂生动而难忘的“珍爱生命”课！	0
暖闻｜养猪户误把7万元当垃圾扔掉，多人帮忙从垃圾场找回	0
监狱比武小泽君耍赖，居然枪杀中国劳工	1
一公司让员工互扇耳光培养狼性 网友批:别没了人性 - 猫狗空间 - ...	1
险！市区鳄城花园一居民家中起火！一男子昏迷在卧室！_火灾	1
男子做保洁捡废品，为一个饮料瓶推倒80岁老人，导致造成老人轻伤	1
「政法英模」新时代的好法官李庆军(2)	0
吃夜宵遭拒踢垃圾桶出气 警方通过监控视频成功抓获嫌疑人	0
爆料上饶现代妇科医院骗子黑医院专门坑害妇女	1
美国肯塔基州一起车祸致6人死亡	1
武汉铁路警方捣毁一制假窝点 查获假火车票25000余张	1
谁恶意一再删我的求购帖子?? - 辽金夏元明信息 - 古泉社区	1
关爱老年人，温暖老人心	0
【警惕】“小火亡人”火灾事故，触目惊心!_电动车	1
迷路老人赤脚坐涵洞玩泥巴 民警用人脸识别帮她找到家人	0
广东揭阳一厂房起火燃烧十多小时，部分厂房火中坍塌！_火灾	1
半年全球6.1亿台次手机中毒 网络病毒向移动端蔓延	1
被人打倒在地，对方踢我的头，然后面部在地上擦伤算轻伤吗?_百度知道	1
春节执行不打烊 司法“大红包”暖人心	0
椒江80岁阿婆讨饭，家人车子接送！这家人绝了	1
违建不止，周末不休!	0
“棉鞋阿婆”故事刷屏 网友纷纷来买鞋	0
醉酒驾驶酒精度113，有机会判缓刑吗-免费法律咨询-华律网	1
"一男子醉驾摩托车出门""看热闹"" 被交警逮个正着"	1
湖南省零陵区第十届人大代表、永州市交通运输局办公室主任吕...	0
曝光!合肥黑作坊竟这样加工鸭血!肮脏、腥臭、无证...你还敢吃吗?_...	1
徐州市中级人民法院-买卖国家机关公文、印章罪	1
德州男子变身“刘翔”翻护栏狂奔百米，竟然是因为......	1
中国第一大边境城市，被誉为“英雄之城”	0
“神效”保健品三天就能降血糖？ 竟是加了这种东西！	1
为你们点赞!高新区5家企业获评江苏省“最具发展潜力科技人才创业企业”	0
库尔勒市新世纪幼儿园教职工开展“民族团结一家亲 欢声笑语传真情”主题活动	0
两岁孩子从不尿床，宝妈以为懂事，得知真相后，如遭雷击_手机网易网	1
《马彩云》导演祁汉： 女性有铁血柔情 更有舍身取义	0
刑警汪荣波每年2万元资助贫困生	0
男子为救两岁女童飞身撞停三轮车 多处擦伤门牙撞烂-盐城新闻网	0
合肥六教师违规补课再被实名通报并降级_搜狐教育_搜狐网	1
药品安全源头抓起 苏州新药上市不良反应及时报	0
【秭归县直机关工委】召开机关党建工作现场推进会 ...-宜昌机关党建	0
女孩在韩12项整容皆失败 流落街头跨国维权-淮南新闻网_淮南权威资讯	1
“沙漠县城”送走沙害，走上生态致富路|宁夏|盐池县|沙害_新浪新闻	0
大庆市纪检监察_百湖清风	0
门锁损坏修换不及时 惯盗轻易得手	1
海口现假婚恋骗术 女护士被“男友”诈骗20万元	1
骗子瞄上发表论文 博士生网上找人发表论文被骗2.5万	1
【江苏宿迁泗阳县众兴镇暴力拆迁】大白天拆迁办40余人强行闯入...	1
专治“城市病”的街长来了_今日徐州	0
凌晨4点女孩打车，意外发现了车上被绑的女人……	1
活水乡认真做好耕地力保护补贴发放工作	0
厦门一村主任充当 “保护伞 ” 侵吞集体资产达481万	1
中国移动通信集团福建有限公司周宁分公司与卓水枝电信服务合同纠纷一审民事裁定书	1
重庆警方破获特大跨省产销假烟案 缴获假烟2万余条_生产	0
吃夜宵遭拒踢垃圾桶出气 警方通过监控视频成功抓获嫌疑人	0
全面放开养老服务市场，南京要这么做	0
"重庆破获""荐股""电信网络诈骗案 受害人逾200名"	0
河南幼儿园校车与货车碰撞致2死11伤 谁该负责？	1
受害人正值生理期钮承泽也性侵?神秘女士更是曝光其它内幕	1
25绝望处，求助人的故事	1
4am孤存调皮，想用雪地摩托撞死人，却把自己撞死了！	1
佣人坐栏杆上休息，不料男子一手搭过来，弄的佣人直接坠楼了	1
玉屏小孩遇车祸，好心群众伸援手！	0
朝天公安交警大队查获一起驾驶报废车及无证驾驶的交通违法行为	1
辟谣！朋友圈疯传的上思“艾滋病女”报复社会是假的，传谣者竟然是前男友！	1
700口油井被点燃，5000万吨原油烧成火海，伊拉克使狠招告诫美国	1
徽县林业局召开脱贫攻坚突出问题“大排查、大整改、大落实”集中行动部署会议	0
全民护苗:人间恶魔落网纪实	0
盐城移动volte电话 成功实现省内多地区互通	0
仙桃毛嘴一居民房发生火灾，八旬老人被困……	1
争树优良家风 助推乡村振兴 ---荔波县妇联赴瑶山瑶族乡开展“家庭、家风、家教、家训”讲座	0
武汉开发区永旺等商圈购物环境这么平安，原因请看这里	0
女法医，11年让900多具尸体“开口”	0
仅用12个小时，高安交警破获交通肇事逃逸案	0
南召交警发布悬赏通告，请大家紧急扩散！	1
突发!河北内丘发生惨烈交通事故 2死9伤-凤凰网视频-最具媒体品质...	1
逆行者 真英雄——消防员程磊火海救出被困女学生_手机网易网	0
内蒙一对父子吵架，儿子气急之下将房子点着！	1
济菏高速平阴段两起追尾，半夜仍在堵	1
早餐店占道经营 雨湖区云塘街道依法责令停业	1
【转载至ab模板网】曝光昆明宝岛妇产医院黑心骗子坑了不少昆明女	1
系列杀人凶手被抓，尸体被当众解剖，真正的凶手至今逍遥法外	1
云南:50人因贪污、挪用扶贫款物被起诉	1
杭州摧毁涉黑团伙 抓获犯罪成员33名	0
中机国际荣誉墙再添“巾帼岗位明星”殊荣	0
为逃避压力沾染毒品男子3进强戒所，教导员耐心劝导	1
都柏林周末连发两起强奸案，警方全城搜捕犯罪嫌疑人_女子	1
奥格智能协力南京 共进多规合一	0
禁传销 反欺诈 柳州打击传销工作再掀起风暴	0
人民日报站起来怒批:再不整治!会让中囯道德倒退50年!	1
投诉主题：投诉宜人贷	1
27年前发生教师集体性侵事件，一妙龄少女性侵33次，如今疑点重重	1
桃源县农机局举办十九大精神学习培训班	0
真汉子！水管工为抢修寒冬跳入冰水井 一天衣服湿几次	0
大学鉴赏系毕业生成女贼 沿街盗窃专偷衣物(图)-廊坊新闻网 - 廊坊...	1
大屯街道中部片区举办首届百姓生活节_朝阳政府网	0
我这个厂里老板无故拖欠工资，高额罚款，还在厂门口贴了不允许辞工的通知	1
“五一”小长假第一天，高速公路逆行被逮现行	1
农民工被人非法囚禁，不准逃跑，太可怜	1
济南这个贼太拼了！为了翻墙入室，他每次扛着两米的铁梯子狂奔……	1
“勇攀高峰 砥砺前行”	0
这个白衣女子火了!只因她的背影最帅…	0
12岁女孩公交被性侵怀孕真相	1
> 济南铁通成立员工健身活动中心	0
【表彰】集团公司青年荣获广东省优秀团干部、广东省优秀共青团员	0
通辽市检察院运用“智慧公诉”精准指控部督大案	0
民生红包分量足 百姓获得感满满	0
当心！支付宝余额为0也被骗走了28万元	1
厉害了!西安所学校入围全国中学强!(另附:西安北郊最热十展航...	0
非诚勿扰：台上最温婉的女嘉宾，牵手成功之后，因婚变砍死丈夫！	1
郧西两男子双双被行拘！无证驾驶发生事故后请妹夫顶包！	1
茶匠蒋维明：把心守住，把茶做好，让更多人爱上中国茶	0
狠赞!深圳公安黑科技!大数据+dna技术找人，被拐23年也挡不住与父母再团聚!	0
天津一停车收费员为了方便竟然干了这样的事儿……	1
中共延安市委网信办组织开展“牢记初心使命，我为党旗添彩”主题...	0
离石枣林乡山体滑坡，最新报道（图）	1
合肥一立交桥上轿车猛烈撞击自燃！司机身亡！视频曝光…_行车	1
【一线干部大比武】松新镇、石梨镇、县机关幼儿园工作动态(20180523)	0
代驾在行驶中离奇身亡！车主亲历惊魂一刻！	1
我校2018年第二期道德讲堂开讲	0
产业扶持摘了贫困帽  - 鄂尔多斯日报社多媒体数字报文章	0
十堰一女生被4人围殴约20分钟 还被拍裸照	1
简讯	0
天津站交警无人机成“网红”空中喊话治违法	0
熊喜强与喻江南、吴保连、胡勇民间借贷纠纷一审民事调解书	1
迷恋赌博诈骗女友96万元	1
上半年江苏381人违反八项规定被查	1
浙江德清查处“中华啤酒”商业混淆特大案件	1
我院团委荣获“省直五四红旗团委”荣誉称号	0
贪污受贿卖官渔色 面对下级和百姓他们被称一霸手_古汉台网	1
三年决战奔小康 生态移民迁出新生活 _网易新闻	0
男子乱扔垃圾，乞丐上前打扫，男子却变本加厉的欺负乞丐	1
省政协调研组赴厍东关乡开展精准扶贫产业发展调研	0
望都：民房意外失火 陪读妈妈急寻帮助	1
营市街司法所助力街道开展社区邻里节活动	0
“五一”小长假广州白云机场口岸出入境客流同比增长约15％	0
渭南市市长李明远会见省政府消防工作考核组一行-渭南公安网	0
现代“农夫与蛇”，雇主对保姆友善，可她却私吞雇主81万	1
十堰一民房暗藏赌博窝点 警方突击当场抓获9人	0
桐柏:做强特色产业扶贫 加快乡村振兴步伐	0
丈夫不同意离婚，鄂州21岁悍妻找来男性朋友，当街对其暴打	1
青岛公交“网红”驾驶员开讲安全第一课 “小不点”斑马线上齐点赞	0
惊心!2岁女童掉进厦门火车站站台，火车即将发车...	1
渭源县公安局交警大队 利用“首阳山”采薇会伯夷叔齐 祭祀典礼开展交通安全宣传	0
【榜样】民行检察官闫瑞明的为民情怀——全国“双先”表彰大会个人“一等功”获得者	0
通过“钉钉”软件管理组织成员 青岛李学跃涉黑案一审公开宣判	1
审核过程只需5分钟！沈阳人家门口也能办房证了！	0
北潘庄村的扶贫“热心人”	0
石家庄美莱医学美容医院手术失败推卸责任_5187有信网	1
中国化工报 陕煤集团:新理念助力走进新时代--陕西煤业化工实业...	0
校友风采 | 高鑫：以梦为马，不负韶华_青年	0
贺州一餐厅竟然拒收现金?这种任性操作涉嫌违法!	1
临渭分局禁毒大队以禁毒宣传为切入点 推动平安建设活动深入开展	0
脱贫路上花香溢，产业之花遍地开——亭口镇产业发展系列报道(三)	0
揭秘潍坊和平医院妇科是黑心医院!我被骗全过程!	1
精准严实推进秋季大会战合力突围坚决打赢翻身仗	0
女子做手术，注射镇静剂后遭医生性侵！警方发布最新消息	1
温州龙湾一拆迁项目组负责人 骗取44万拆迁补偿款_黄某某	1
虚构事实，骗取低保和危改房补助款，这名村主任一骗竟然……	1
为你们点赞!高新区5家企业获评江苏省“最具发展潜力科技人才创业企业”	0
回应“过期蜂蜜门” 同仁堂:子公司监管不力	1
漯河一女子乘公交时忘带钱包 好心人帮忙付钱	0
斐濟群島地區發生5.5級地震 震源深度550千米	1
惨案！太原一小学校长杀妻烧车焚尸灭迹！疑因男方出轨要求离婚遭拒…_小店区	1
旬阳2018年巡察工作聚焦“四大问题”强势启动-旬阳县人民政府	0
徐文捷:执行局里的“90后”员额法官-中国法院网	0
醉汉作死戳轮胎炸胎致死，家属向车主索赔，这种事车主要担责吗？	1
“中国游客真是人傻钱多”：价格高10倍，假货只卖给中国人！	1
枣庄滕州亿和嘉苑烂尾八年，四百业户哭告无门惊世侠传-浦口人网	1
突发! 广州番禺一小区突发大火-资讯-高清正版视频在线观看–爱奇艺	1
关注学生获得 携手教师培训	0
丈夫与年轻女子婚外情，妻子当街砍伤小三，丈夫抱起小三狂奔医院	1
驾校都黄了还想着带学员 “套牌”教练车被抓	1
德州供电获德州市专项通报表扬	0
嵇兵与刘大明民间借贷纠纷一审民事判决书	1
【阳光青年微课堂第十五期】新时代 致敬英雄	0
西湖区城建局学习传达全省作风建设工作会议精神	0
2月13号情人节前一天，他死了……	1
卫星导航技术与应用成果展亮点频现 互动体验让人与北斗“零”距离接触	0
岚皋县检察院：制作广告牌营造平安建设氛围	0
"路人吓坏! 男子身穿""吃鸡装备""手拿长枪大跳广场舞"	1
投诉主题：投诉远成快运	1
高邮一大人骑电动车带着小孩了，车子突然自燃了...	1
麟游县文物旅游局赴咸阳宣传推介宝鸡旅游_咸阳旅游	0
目击南充高坪东观境内惨烈车祸	1
汉中3岁女童幼儿园被热汤大面积烫伤，涉事幼儿园回应……	1
公安部部署打击保健品诈骗犯罪成效显著	0
警察捣毁特大传销窝点 96 名传销人员被抓	0
【特稿】土耳其高速列车撞机车　数十人死伤	1
经营者违规排油烟城管当即责令整改 -珠江时报-数字报刊平台	0
幼儿园被逼吃剩饭-河南幼儿园学生被逼吃剩饭 涉事老师为何无法追...	1
[转载]上海汉轩文化艺术品有限公司故意用高价诱导说藏品价值很高诈骗_14	1
在西藏全面推进社会主义核心价值体系建设	0
【爱播·记者手记】脱贫路上咱村有能人——乌鸡达人陈建钧	0
让江苏书展成为交流互动的阅读嘉年华	0
欠债3000万“老赖”涉拒执罪今在台山开庭! 一边玩“躲猫猫” 一边非法转移财产	1
两岸传真 | 海峡两岸师生走进霞客故里开展骑行活动	0
蓟州一司机，酒驾还无证驾驶！结果……	1
雪域邮路上的忠诚信使其美多吉获得“感动中国2018年度人物”荣誉	0
武鸣双桥路口一车瞬间被大火吞没！_小汽车	1
北京社科院蓝皮书:北京已建近1500个“一刻钟服务圈” 社区覆盖率...	0
顺义女子照料残疾养父报答养育恩	0
云南边境多地遭狂风袭击 屋顶被掀翻(图)	1
全面放开养老服务市场，南京要这么做	0
【读书荟】县妇联开展党员集中读书活动	0
忻州窑矿团委组织开展青年志愿者服务活动	0
【县农业局】武宣县农业局参加第六届政务公开日活动 ...-武宣政府网	0
问责领导(上黄镇党委书记张涛，宣国才真能一手遮天吗？)	1
网络传销骗子尤东方冒充反传销组织	1
广州首现非洲猪瘟疫情 黄埔猪场30头发病9头亡	1
中二少年认为除了自己人类都恶心，纵火烧死母亲和妹妹_塞缪尔·沃纳钦	1
服务 | 我校志愿者开展“文明出行劝导”活动	0
舒马赫昏迷五年苏醒!花费上亿元，妻子拒绝安乐死对车王不离不弃	0
西媒：越南“漂浮”住宅助防洪水袭击	0
20岁的花季女孩却因为这个两次被判刑......	1
陕西地电打造一流配电网 打赢脱贫攻坚战	0
小伙为了赚钱，不惜一切吃魔鬼辣椒，直接瘫倒在地，实在让人心酸	1
平凡妇女用49年诠释人性美	0
你加的92、95号汽油可能是假的！浙江破获一起特大非法生产经营成品油案_调和	1
双牌县召开2018年农机化工作会议	0
【车辆自燃 西固交警出手相助】	0
捆扎不牢货物撒一地 遗祸后车赔钱又罚款	1
四铺镇五铺村出新招 党群连心更贴心	0
曝光！山西省长治市城区紫坊村中街116号2户郭付安、五龙镇罗圈村下庄自然村28号张启红	1
山西运城三路里深山之中藏危化物加工点	1
宁河区村民被举报排放污水污染严重	1
沪一女子因分手欲轻生 消防队员从12楼窗台将其救下	1
揭秘！事发晋江：男子花15000元报名驾考，却要到西安考试？	1
“红色天使 热血先锋”被泰安市直机关工委评为优秀服务品牌	0
"重庆破获""荐股""电信网络诈骗案 受害人逾200名"	0
2018年10月北京丰台区抢孩子事件，最重要的被我们忽视了！	1
【秭归县直机关工委】召开机关党建工作现场推进会 ...-宜昌机关党建	0
治水兴水春潮涌动 江海明珠水美生辉	0
【法治民和】民和警方:辱警滋事“零容忍” 从严快惩“不手软”	0
云南一男子酒后失控喝农药自杀身亡 ，＂酒友＂共同担责	1
俄烟花仓库突发大火 礼花爆炸照亮夜空	1
要钱不成 打人又抢孩子?	1
涉非吸!传巨如集团老板失联 旗下平台逾期	1
泗洪：最美警察 结对帮扶“中国好人”	0
安平县开展餐饮油烟专项整治行动	0
印度中央储备部队车队被袭，并造成42人死亡呢？	1
助力乡村教育振兴的“共赢”样板	0
央视《新闻联播》又聚焦沭阳啦，点赞花乡美丽乡村新生活!	0
战冰雪抢修线路保供电	0
网红“土坯房书记”落马的背后	1
营口站前黑恶势力戴xx杨xx被站前经侦执法人员包庇	1
把证放药店收租金?食药监总局:“挂证”药师_联合时代网络	1
理塘县检察院成功立案监督一起盗伐林木案	1
贵州网友要请假回家看花，理由美得零差评!_搜狐旅游_搜狐网	0
德庆县妇联到我区学习交流妇女创业小额担保贷款贴息项目工作	0
黑客猖獗：德国数百名政界人士机密信息被泄露	1
合作公安交警开展国省道交通秩序集中整治行动	0
玉山交警组织民警开展党纪法规知识考试	0
高雄凤山大楼突发火灾 120人仓皇逃出17人送医	1
【全民健身 相约文明】长山镇举办第五届全民健身广场舞大赛	0
【检察风采】孙道良：用司法温度依情解案	0
男子地铁里吃小龙虾满地吐壳，还叫嚣说……网友不干了！	1
安平县开展餐饮油烟专项整治行动	0
南京一工地被曝扬尘污染扰民 项目遭叫停并按上限处罚	1
永州中院公开宣判称霸永州一方的18人恶势力案	1
贫困县县委书记受贿1亿	1
大赞！庆阳这个县1日拘4人！重拳打老赖！	0
【比赛】林芝市第一小学举办第三届“校园舞蹈大赛”	0
【云筑天下-工人之家】一曲《祈盼团圆》，道出农民工心声!	0
养鸡场熏煞村民 整改取缔多次仍不见挪窝_手机网易网	1
大块楼体在火光中坍塌！实拍：广东揭阳一厂房起火燃烧一夜后熄灭	1
霍林郭勒市强举措抓落实	0
哈尔滨女子办“传统道德班”敛财两千万获刑，学员仍执迷不悟(2)_偶...	1
佛高区 “青春π”:爱的薪火 “义”起同行走进“生态象岭”|狮山传播	0
玉林独腿90后，看了他你还有什么不努力的理由！	0
澄城罗家洼派出所借助集会掀起平安建设宣传热潮(图)	0
今天凌晨，如东一农户养猪舍突发火情……	1
又是盲区!潍坊大货车拐弯碾压电动车，一人死亡!视频记录惨烈现场	1
药品安全源头抓起 苏州新药上市不良反应及时报	0
广西钦州男子清理排水沟遇山体滑坡被埋压死亡	1
我估计不骂句辣鸡移动都没人看【广西移动吧】_百度贴吧	1
男子30万车子停小区，竟被物业当废品卖了!	1
武汉开发区永旺等商圈购物环境这么平安，原因请看这里	0
华阴市建成首个禁毒教育主题一条街-陕西省渭南市华阴市公安局	0
派出所民警“兼职”消防员扑灭火情，群众到处夸	0
新加坡“为人师表”就这么嘲笑学生?	1
邯郸开展“青春助力环境整治 齐心共建美丽家园”活动-长城原创-...	0
南京47岁交警遭碾轧殉职，嫌疑人会被判死刑吗？	1
村干部欺压百姓，言语恐吓，暴力攻击，区别对待，窜改政策，一手遮天	1
民政部：云南洪涝灾害造成6人死亡失踪	1
忻州侦破一批“盗抢骗”案件 11名犯罪嫌疑人落网	0
意大利火山喷发引发4.8级地震 房屋成片倒塌	1
湖南益阳境内发生交通事故22车相撞 已致5人死亡	1
佛高区 “青春π”:爱的薪火 “义”起同行走进“生态象岭”|狮山传播	0
抢夺公交方向盘，致两人受伤 漯河一男子被判刑三年	1
网约车绕远路被姑娘指责，司机将其拖下车殴打，姑娘:按在地上打	1
【关注】同仁堂被罚1409万!北京纪委:造成国资严重损失	1
汉阴：失联五天的少年到底去了哪里?	0
因港而兴！重大项目纷纷落户，阳逻三大园区竞相发展	0
河南多地开展牛羊肉市场专项整治 鹤壁多部门参与整治	0
发声亮剑 | 铸牢中华民族共同体意识	0
龙岩新罗区南鑫铋业有限公司、沈金铁承揽合同纠纷二审民事裁定书	1
民警“火眼金睛”，问题司机被记18分	1
专业医护人员手把手教急救	0
威人物丨17岁那年，他带着满腔热情走进了巡山护林防火队伍	0
丧心病狂:这个女人狠踹交警裆部，理由竟然是交警贴罚单影响她做...	1
【提醒】公职人员使用微信，10条红线不能碰！（已有局级官员因此被处分）	1
“年例”期间如何确保道路交通安全？茂名交警这份提示真暖……	0
澳洲92岁的老奶奶免费派汤38年，喂饱了一座城市的流浪汉_stasia	0
活水乡认真做好耕地力保护补贴发放工作	0
杭州摧毁涉黑团伙 抓获犯罪成员33名	0
三问诬蔑鸿茅药酒是毒药的商人谭秦东	1
电瓶车私拉电线引起火灾	1
[关注南通] 苏通大桥飙车案一审宣判 客车司机、货车司机因犯危险驾驶罪	1
谁在青州丢了24k的金手镯!	0
吃夜宵遭拒踢垃圾桶出气 警方通过监控视频成功抓获嫌疑人	0
张家界市举办春夏季农业生产机械化作业现场会	0
玉林独腿90后，看了他你还有什么不努力的理由！	0
那邦镇开展“全面建成小康社会，残疾人一个也不能少”宣传活动	0
98年长江抗洪功臣，创造救灾奇迹，人们心中永远的英雄：董万瑞_搜狐军事_搜狐网	0
七邻里社区全力推进违建拆除	0
你好，我想咨询一下组织聚会导致醉酒后发生交通事故，在出事人神智不清的时候让其独自一人驾车离去	1
亿利资源集团四个项目入选首批全国林业产业投资基金项目库	0
危险！小小面包车塞了7头羊	1
金融为实体经济输血助力	0
68岁老人因“爱花”偷两株蜡梅 生日宴上被警方拘留	1
惋惜! 又一女星拍戏出意外， 真枪当道具， 当场中弹身亡， 仅19岁	1
深晚报道 | 龙岗警方北上湘赣打掉 230 人贷款诈骗犯罪集团	0
劳动密集型产业推动就业扶贫“快餐车”	0
绍兴小学门口发生惨烈车祸！白色厢式车撞倒电瓶车！车主倒地不起，碎片散落一地！_袍渎	1
宿州一男子制作虚假网站和木马病毒 获刑4年被罚_成都网站建设_...	1
点赞！赣榆区人民医院一女孩欲轻生，护士长成功劝说	0
五一期间 顺德消防“清场行动，重拳出击”查封娱乐场所	0
高校app广告丛生、信息泄露让人诟病	1
【视频新闻】江岸区“坚强妈妈”王小玉：用爱创造生命奇迹	0
渭源县公安局交警大队 利用“首阳山”采薇会伯夷叔齐 祭祀典礼开展交通安全宣传	0
国家认定!贵州这条河竟然这么牛!_搜狐旅游_搜狐网	0
一男子庆幸开套牌车被抓	1
震惊:广东省名牌电缆被冒用，且侵权产品被转移!	1
失忆多年突然想起父母名字，女子跑到派出所求助！寻亲能否成功？	0
“慈善敬老 夏日送清凉”郑州慈善总会为全市集中供养特困老人送夏装	0
贵州黔东南:“死胡同”通致富路 引来产业助脱贫_大话产业_贵州...	0
小孩手被卡车门  九江特勤消防官兵火速救援	0
汉阴：失联五天的少年到底去了哪里?	0
敦化“鸟枪换炮”紧跟现代农业步伐	0
江西九江女童手指不慎被玩具卡住，巧手消防员施妙招救助！	0
万人失声痛哭!大庆、齐齐哈尔、哈尔滨…整个黑龙江都哭了!	1
